Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Anas A. Hadi,"Assistant Professor, Arab Open University, Saudi Arabia, Riyadh",13,15,1561,1514,0,0
João Guerreiro,"LASIGE, Informática, Faculdade de Ciências, Universidade de Lisboa",23,35,1560,1312,38,0
SeungJun Kim,GIST (Gwangju Institute of Science Technology),15,26,1560,817,4,0
Mohammad Maifi Hasan Khan,University of Connecticut,20,37,1560,931,21,3
Mirko Gelsomini,"SUPSI, prev. Polimi, MIT, GATech",23,39,1560,1080,6,2
Vaiva Kalnikaitė,Dovetailed,17,23,1560,640,6,4
Vincent Koenig,University of Luxembourg,18,28,1559,1134,16,1
Daniel Kusbit,Carnegie Mellon University,3,3,1554,1367,2,0
Young Sang Choi,"Vice President, Samsung Advanced Institute of Technololgy",21,36,1550,756,1,1
Jan Van den Bergh,Hasselt University,18,33,1549,378,29,0
Vivian Genaro Motti,"Associate Professor, George Mason University",20,39,1548,1067,17,0
Paul C. Parsons,Associate Professor at Purdue University,19,30,1547,1121,19,0
Daniel B Shank,Missouri University of Science and Technology,19,33,1547,1210,15,1
Michael Coblenz,"Assistant Professor, University of California San Diego",14,17,1545,649,12,0
Alexander Boden,Hochschule Bonn-Rhein-Sieg,22,35,1543,862,23,0
Luana Micallef,"Human-Centered Computing, Department of Computer Science, University of Copenhagen",15,17,1543,887,12,0
Ricardo Kawase,Mobile.de | Adevinta,19,34,1540,725,3,1
Dr.Tobias Grundgeiger,Julius-Maximilians-Universität Würzburg,21,31,1539,841,14,6
Ioannis Giannopoulos,"Professor for Geoinformation, Vienna University of Technology (TU Wien)",18,31,1537,1099,9,1
Donald McMillan,Stockholm University,21,31,1537,940,5,0
Ryan M. Kelly,"Associate Professor, School of Computing Technologies, RMIT University",20,30,1536,1337,21,0
"Wei Xu, Ph.D.",Researcher/Professor;  HFES / IEA / APS Fellow,23,37,1536,1251,0,0
Muhammad Aslam,"Professor at Department of Computer Science, University of Engineering and Technology, Lahore",18,47,1535,841,3,0
Ammar Mahdhaoui,Data Scientist,12,13,1533,721,0,0
Brian Dorn,"Associate Professor of Computer Science, University of Nebraska at Omaha",23,32,1533,656,5,3
Nicholas Kong,"Software Engineer, Google",11,12,1531,829,0,0
Djoko Budiyanto Setyohadi,Universitas Atma Jaya Yogyakarta,20,39,1530,1331,0,0
Masashi Crete-Nishihata,University of Toronto,18,28,1529,912,12,2
sylvie gibet,Université de Bretagne Sud,22,46,1526,458,2,0
Kai-Christoph Hamborg,"University of Osnabrück, Institute of Psychology",18,30,1525,404,0,0
Tun LU,"Professor, School of Computer Science, Fudan University",20,46,1524,1023,39,42
Stefano Valtolina,"Associate Professor, Department of Computer Science, Università degli Studi - Milano",19,42,1524,962,4,0
Sergio Sayago,Universitat de Lleida,18,36,1523,780,20,0
Tianyi Zhang,"Assistant Professor of Computer Science, Purdue University",16,29,1522,1455,25,1
Kristy Milland,University of Toronto,12,14,1519,1276,7,0
Artem Dementyev,Google Research,16,19,1517,942,3,2
John Quarles,"Professor of Computer Science, University of Texas at San Antonio",22,48,1515,1055,29,5
Eva Garcia-Lopez,University of Alcala,15,25,1515,989,16,5
Oskar Palinko,"SDU Robotics, University of Southern Denmark",16,20,1514,796,12,6
Murat Perit Çakır,"Associate Professor, Cognitive Science, Informatics Institute, Middle East Techincal University",19,33,1513,623,0,1
Pardis Emami-Naeini,"Assistant Professor, Computer Science Department, Duke University",13,15,1511,1418,17,0
Michael Jugovac,TU Dortmund,14,16,1510,1350,1,0
Christian P Janssen,"Assistant Professor, Experimental Psychology, Utrecht University",19,35,1509,1083,22,2
Chenhan Xu,North Carolina State University,17,19,1509,1394,21,6
Maritza Johnson,University of San Diego,13,15,1508,712,1,0
Simon D'Alfonso,School of Computing and Information Systems.The University of Melbourne,20,31,1508,1409,32,2
Alfredo Ferreira,INESC-ID Lisboa / Instituto Superior Técnico /  University of Lisbon,22,34,1506,838,25,0
Marcel Walch,Ulm University,19,28,1504,1238,4,6
Christopher Hanley,"Senior Systems Software Engineer, Space Telescope Science Institute",8,7,1503,483,0,1
Marta Larusdottir,"Professor in Computer Science, Reykjavik University",18,33,1501,741,5,1
Kathryn E. Ringland,"PhD in Informatics, University of California Santa Cruz",21,28,1498,1248,13,2
Xiaojun (Jenny) Yuan,University at Albany,20,34,1498,601,4,3
Ana-Belén Gil-González (https://orcid.org/0000-0001-7235-6151),BISITE Research group. University of Salamanca,19,34,1497,960,27,9
Ana Carolina Tomé Klock,Marie Skłodowska-Curie Postdoctoral Fellow at Gamification Group (TAU),18,28,1496,1388,19,1
Y. Raghu Reddy,"Associate Professor, IIIT Hyderabad",18,29,1494,612,0,0
Ricardo Tesoriero,Universidad de Castilla-La Mancha,17,30,1493,494,16,11
"LI Jinhui, Kevin (李锦辉)","Professor, Jinan University (暨南大学); Associate Editor, Frontiers in Psychology",19,25,1493,1252,9,1
Takatsugu Hirayama,University of Human Environments,20,45,1493,796,2,0
Ryo Suzuki,"Assistant Professor at the University of Calgary, Department of Computer Science",20,26,1492,1309,19,0
Verkijika Silas,Sol Plaatje University,14,15,1491,1423,1,0
Derek Flood,"Lero, Dundalk Institute of Technology",13,15,1488,741,28,0
Joseph Seering,"School of Computing, KAIST",17,21,1488,1450,5,0
Carlos Duarte,"LASIGE, Informática, Faculdade de Ciências, Universidade de Lisboa",19,39,1487,680,25,0
Ilhan Aslan,"Huawei Technologies, Research Center, Germany",20,30,1487,866,9,2
Jussi P. P. Jokinen,"Assistant Professor, University of Jyväskylä",23,33,1484,1086,26,4
Geng Shuang,Shenzhen University,12,12,1484,1470,8,14
Gregor Broll,adesso AG,21,32,1483,227,3,0
Dr. Sharad Sharma,"Professor of Data Science, University of North Texas (UNT)",21,44,1481,898,29,3
Roberto Pereira,Federal University of Paraná (UFPR),20,51,1481,960,2,0
Zijun Lin,London School of Economics and Political Science,2,2,1479,1472,0,0
Samuel Huron,"Associate Professor, SES, Interact, Telecom Paris, UMR 9217 i3 Institut Polytechnique de Paris",17,25,1478,1102,15,0
Nicole Lee,independent researcher,4,4,1478,870,2,0
Antonio Gentile,"Associate Professor, Dipartimento di Ingegneria, Universita' di Palermo",21,49,1477,331,10,1
Maurizio Caon,"School of Management Fribourg, University of Applied Sciences and Arts Western Switzerland (HES-SO)",19,33,1477,1076,14,2
Aaron L. Gardony,"Cognitive Scientist, US Army Combat Capabilities Command - Soldier Center",20,26,1477,1023,15,6
Sun Young Park,University of Michigan,19,31,1475,880,13,1
Jim Wallace,"Associate Professor, University of Waterloo",25,38,1474,786,25,6
Luc Geurts,"Professor, KU Leuven",21,32,1474,723,10,0
"Jennifer King, PhD",Stanford Institute for Human-Centered Artificial Intellgience,15,17,1473,504,0,0
Tim Draws,OTTO,12,14,1472,1470,9,1
Paul Janecek,"Think Blue Data Co., Ltd.",16,19,1471,343,1,0
Ryan M. Schuetzler,Brigham Young University,17,22,1470,1162,6,0
Julian Ramos Rojas,"Research scientist - Reality Labs, Meta",14,15,1469,896,4,0
Karen P. Tang,"Pittsburgh, PA",16,17,1468,289,0,0
