Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,Public Access Paper (Available),Public Access Paper (Not Available)
Jonathan Roberto Torres Castillo,"Ph.D., Universidad Nacional Autónoma de México",2,1,38,38,0,0
Deeksha Adiani,"PhD. Student, Vanderbilt University",3,1,38,38,2,2
Viseth Sean,Chapman University,4,1,38,38,0,0
VARTIKA AGRAHARI,Indian Institute of Technology India,4,1,38,37,0,0
Sayma Sultana,Ph.D. student,3,1,38,38,0,0
Agata Filiana,"Universitas Kristen Duta Wacana, Queensland University of Technology",3,1,38,38,0,0
Xiaoshuai Chen (陈晓帅),Imperial College London （Ph.D）,2,2,38,38,0,0
Chettaoui Neila,National School of Engineers Sfax,5,0,38,37,0,0
Zhang Jiehuang,Nanyang Technological University,4,2,38,31,1,1
Tristan McKinney,"Applied Scientist, Amazon Web Services",4,1,38,32,1,1
Tan Gemicioglu,Cornell University,3,2,38,38,1,0
Minha Lee,KAIST,3,1,38,38,0,0
Jocelyn Shen,Massachusetts Institute of Technology,3,3,38,38,4,0
Maria Hartikainen,Tampere Universities,4,1,38,36,0,0
Abdul Rahman Shaikh,Northern Illinois University,4,2,38,38,4,0
Brett A. Halperin,"University of Washington, Human Centered Design & Engineering",4,2,38,38,3,0
Toshiki Aoki,The University of Tokyo,2,2,38,38,1,1
Jarvis Tse,Harvard University,2,1,38,38,1,0
Leonardo J. Gutiérrez,Sonora Institute of Technology,2,1,38,38,2,0
Manideepa Mukherjee,"CICS, University of Massachusetts",4,2,38,30,0,0
Dong Heon Cho,Columbia University,2,2,38,38,0,0
Duarte L. Sousa,PhD student @CMU / @IST-ULisboa,5,1,38,32,2,0
Kimaya Lecamwasam,"Graduate Student Research Assistant, Massachusetts Institute of Technology",2,2,38,38,2,0
Noor Al-Ansari,PhD student,2,1,38,38,0,0
Heng Yao,Graduate research assistant,3,2,38,38,1,3
Woojin Ko,"PhD Student, Cornell Tech University",1,1,38,38,1,0
ANNA MARY MONDOL,"Lecturer of Computer Science and Engineeing, Brac University",1,1,38,38,0,0
Rohan Tan Bhowmik,Stanford University,3,1,38,38,0,0
Chengbo He,University of Science and Technology Beijing,2,1,38,38,0,0
Marcello Ranieri,"PhD Student, Dipartimento di Beni Culturali - Università di Bologna",3,3,38,3,0,0
Shern Shiou Tan,"Student of Computer Science, University of Nottingham Malaysia Campus",3,1,37,29,0,0
edson rufino de souza,Federal University of Espírito Santo - UFES,4,1,37,14,0,0
Mahmoud Elmenshawy,"BS.c in Computer Science, Ahram Canadian University",2,1,37,12,0,0
José Braz,"Professor of Computer Graphics, Escola Superior de Tecnologia de Setúbal / IPS",3,1,37,9,0,0
